Q,A
언제까지 덮을 수 있을까?,정신을 편안하게 하는 음악을 들어보세요.
너무 추워요,따듯한 차 한잔 어때요?
아이고 추워라,핫카는 어때?
내가 너무 게 된 것 같아,상대방도 똑같은 인간이라는 걸 잊지 마세요.
내가 너무 기댄 거 같아,다른 사람이 같은 사람이라는 것을 잊지 마세요.
지금은 생계를 못 해.,허리띠를 졸라 매세요.
벌써 생활비가 없어,벨트를 치세요.
면접 어떻게 잘 보냐,당신이 준비한 만큼 잘 보게 될 겁니다.
7년 전 남편,오랜 사랑 하셨네요.
7년 내남자,넌 오랫동안 사랑에 빠졌어
내가 틀렸어,잘 생각해보세요.
나 실수한건가,생각해봐
가슴 아픈 헤어짐.,많이 아프지 말아요.
가슴 아픈 이별,너무 아프지 마
우리는 반 소년이 될거야.,매일 볼 수 있어서 좋겠네요.
일찍 일해야 한다고 생각합니다.,개인 시간이 생길 거예요.
아예 일찍 출근하면 되겠지.,개인적인 시간을 보내실 겁니다.
스킨 떨어졌다,아무 문제가 없는지 확인해
쓰레기통에 물건을 남겨두라고 했잖아,버리기가 힘든가요.
니 물건들 잡동사니들다 버려달라고 부탁했는데,제거하기 어렵죠.
휴일에 데이트를 해야지,지금 연락해보세요.
내 마음속에 있는 마지막 인사입니다.,마음이랑 잘 인사해요.
내 마음에 마지막 인사,진심으로 인사합니다.
너무 바쁘네요,잘하고 있어요. 당당해지세요.
내 여자친구는 너무 많이 자고 있어.,미인은 잠꾸러기라던데요.
이게 왜이리 힘들지,고통은 참을 수 없었어요.
청소도 못해요,한번만 더 하세요.
청소 해도 티가 안나,한 번 더 해봐
현실과 타협해야하는 이별,진짜 문제가 중요한 때가 있습니다.
사랑하기 어렵죠.,상대방도 좋지만 나를 먼저 사랑해주세요.
사랑 힘들다,"너도 괜찮아, 하지만 먼저 날 사랑해"
8년간의 관계의 끝.,끝내는 게 힘들었을 거 같아요.
8년 긴 연애의 끝.,끝내기 힘들었던 것 같아요.
치과의사한테 가야 돼,근처 치과에 가보세요.
치과 가야 하나,가장 가까운 치과 의사에게 가세요.
잊음의 역설.,완전히 기억에서 삭제할 순 없죠.
사람을 잊는다는 것에 대한 모순,기억에서 완전히 지울 수는 없습니다.
오토바이를 사고 싶어요.,한푼 두푼 모아서 사보세요.
오토바이 사고 싶어,1~2센트씩 챙겨서 사세요.
4년째 데이트하고 있어요,좋은 기억들이 많겠네요.
너무 답답하네. 어떤맘일까??,스스로에게 물어봐야 할 것 같아요.
친구가 예뻐서 위축돼,자신감을 가져라.
사람의 행동에 의미를 부여하는 것은 짜증나는 일입니다.,의미부여가 특히 사람을 기대하게 만들기 때문이에요.
좋아하는 사람이 하는 행동에 하나씩 의미 부여하는게 짜증나.,그 이유는 사람들이 특히 기대할 수 있기 때문입니다.
연인이 나를 좋아할 확률은 얼마일까요?,다가가는 만큼 확률이 높아질 거예요.
짝사랑 하는 사람이 날 좋아할 확률은?,가까워질수록 확률이 높습니다.
사랑하고 싶지만 계속 갇혀있어요,사랑을 독차지하려 하지 말고 내려놓으면서 여유를 가지세요.
사랑하고 싶은데 내가 자꾸 구속해,사랑을 분리하려고 하지 말고 그냥 놓아주세요.
정말 복잡해요,힘든 일은 한꺼번에 예고없이 찾아오나 봐요.
정말 복합적으로 힘드네,힘든 일은 한꺼번에 일어난 것 같아요.
일찍 아이를 낳는 게 낫지 않나요?,자신의 상황에서 최선의 선택을 하세요.
애기 일찍 갖는 게 좋을까?,상황에 맞는 최선의 선택을 하세요.
동호회 나가지 말까,좋은 취미죠.
정말 구제불능에 멍청이 인가봐,자신을 비난하지 마세요.
바늘 끝이야,너무 신경 곤두세우지 마세요.
신경이 바늘 끝 같아,너무 걱정하지 마
삼각형인가요?,상처받지 않으셨으면 좋겠네요.
이 세상에서 내가 제일 불행해.,- 그럴 것 같아요
난 작별인사를 하려고 노력했어,가슴 한켠에 남아있을 수 있어요.
여자친구의 얼굴을 마지막으로 봤어요,흔들리지 않을 자신 있나요.
이제 전부 못믿겠네.,하지만 자신을 믿으세요.
우리가 헤어졌는데 한 달이 지났습니다.,시간이 벌써 흘렀네요.
헤어진지 한달 됐어.,시간이 이미 흘렀습니다.
난 그녀를 내버려뒀어,잘한 선택일 거라 믿어요.
제가 그녀를 놓아줬어.,좋은 선택이 될 것 같아요.
학생 데이트 과정 추천,도서관 데이트 추천해요.
학생 데이트 코스 추천,도서관 데이트를 추천해요
남자친구 조건 때문에 헤어졌어.,왜냐하면 조건이 중요하기 때문입니다.
베트남어를 배우는 게 어때요?,요즘 뜨는 거 같아요.
집에 가서 담배 좀 마시고 싶어요.,보다보면 괜찮아요.
집에 갈 때 피맥 먹고 싶다.,보는 게 좋네
내가 일하면서 죽을 것 같아,너무 무리하지 마세요.
일만 하다 죽을 것 같아,너무 신경쓰지 마
썸 타는 사람 이름 뭐라고 저장할까?,"""serre""로 저장하고 싶습니다."
사랑이란 말이 있나요?,"사랑하는 사람과 함께하는 어제, 오늘, 내일이 각 다른 의미가 있다고 생각하면 유효기간이 딱히 느껴지지 않을 거예요."
사랑에 유효기간이 있을까?,"만약 당신이 사랑하는 사람과 함께하는 것이 어제, 오늘, 그리고 내일의 의미가 다르다고 생각한다면, 당신은 유효하다고 느끼지 못합니다."
피해자 코스프레임이 어디 있어?,분명한 잘못이네요.
어디서 피해자 코스프레임?,분명히 잘못됐습니다.
여자친구는 화를 내면 말을 하지 않죠.,시간을 주세요.
답은 더 적은 것 같습니다.,그러는 편이 덜 상처겠지요.
보고할게,보고싶은신가봐요.
보고파,내가 보고 싶은 사람이 너야
그 사람과 내 맘이 같을까?,똑같은 일이 있었으면 좋겠어요
내가 있는 그대로 사랑해,멋진 사람이자 멋진 말이네요.
있는 그대로의 나를 사랑하기,그는 훌륭한 남자입니다. 그건 훌륭한 단어입니다.
"어제, 정말 가득했습니다.",그동안 힘들었죠.
어제 정말로 완전히 보냈습니다,힘들었어요
코인 노래방에 가서 스트레스를 해소해야 해요,신나는 노래를 들려주세요.
코인노래방 가서 스트레스 좀 풀어야겠다.,흥미진진한 노래를 연주해 보죠.
무슨 소리야?,사귀기 전 단계지요.
예쁘지만 사랑에 빠진 게 아냐,눈에 차는 남자가 없어서일 수도 있어요.
예쁜데 연애 안하는 여자,아마도 차에 남자가 없기 때문일지도 모릅니다.
난 분리증후군이 있어요,문득 생각나고 잊혀지지 않는 것이겠죠.
이별증후군,기억될 것이고 잊혀지지 않을 것입니다.
이건 미친 짓이야,답답했나봐요.
미치겠네,그랬던 것 같아요
난 내 인생의 별이야,멋진 말이에요.
내 인생의 주인공은 나야,정말 멋지네요
넌 행복해져야 해,행복할 거라 생각해요.
행복해져야해,네가 행복할 것 같아.
여자친구가 너무 무뚝뚝해,예쁘게 행동해
정말 힘들어요,말해줘서 고마워요.
주의를 끌고 싶어요.,무관심이 필요할 때가 있죠.
관심 끄라고 하고 싶다.,무관심해야 할 때가 있습니다.
그들은 처벌받고 있습니다.,깨달음이 있길 바랄게요.
벌 받는 중입니다.,이해가 되길 바랍니다.
자기 피해.,스스로를 자책하지 말아요. 마음이 아프답니다.
자괴감,"자신을 탓하지 마, 아프네요."
우리 는 사랑 으로 발전 할 수 있습니까?,노력하면 가능할 것 같습니다.
연애로 발전할 수 있을까,시도하면 가능하다고 생각합니다.
나를 좋아하는 사람을 어떻게 내가 좋아할 수 있을까?,그 사람이 좋아하는 것들을 알아보세요.
난 싫어,싫어하지 말아요.
싫어,그를 싫어하지 마
화장 안했는데 썸남이 영통 걸었어. 어떡해?,화장실 조명에서 벗어나도록 하세요.
대학에 가고 싶지 않아.,부모님과 이야기해보세요.
학원 가기 싫어,부모와 얘기해
가만히 있어,제자리 지키는게 제일 힘들죠.
제자리 지키기.,가장 어려운 일이죠.
내가 선물을 해야 하나요?,명품 마음이어도 충분해요.
저 놈은 뭐야?,무슨 생각인지 알 길이 없나봐요.
이 사람은 도대체,무슨 생각을 하는지 몰라요
오르는 기간,정해져 있지는 않지만 발전된 관계가 좋겠죠.
네 목소리를 듣고 싶어요.,지금 전화해보세요.
썸남 목소리 듣고 싶어.,당장 전화해
내가 모르는 게 너무 많다.,그래서 배우는 게 즐겁죠.
모르는 게 너무 많아,그래서 학습은 재미있습니다.
나 다른 거 할까,시도해보세요.
이제는 연락도 없는 너를 그리며,트릭은 사랑을 증오로 바꿀 수 있습니다.
난 이를 알고 있긴 하지만,아플 걸 알면서도 시작하셨군요.
시각적이지만 재미있어요,웃으면 복이와요.
시각한데 웃겨,웃는 것이 축복입니다.
레시피 같아서 맛이 좋지 않나요?,손맛이 안 들어가서 그럴 수도 있어요.
쉴드에서 온 사람과 사랑에 빠질 수는 없어요,상대가 확신이 들도록 말해보세요.
나 대충한 거 아닌데,모르는 사람들도 있을 겁니다.
남자친구가 있는 여자한테 왜 내 마음을 흔들었나?,단호하게 거절하세요.
왜 남자친구 있는 여자를 내 마음을 흔들지?,거절해
뜨거운지 물어봐요,다른 사람들이 알 정도인가 봐요.
3주 정도가 지났고 점점 나아지고 있습니다.,많이 노력하고 있나봐요.
난 널 사랑해 농담이 아니야,사랑이 내맘같지 않아서 그렇게 되나봐요.
짝사랑 하니까 감정 기복 장난 아님.,사랑은 내 어머니와 같지 않다고 생각합니다.
짧은 연애였지만 후유증이 기네,짧은 로맨스는 사랑이었기 때문입니다.
바지를 입고 가야겠어?,오늘은 바지가 좋을거 같아요.
오늘 1주입니다.,잘 버티고 있어요.
너무 귀여워요,사랑이 느껴지네요.
완전 귀여워,난 사랑을 느낀다.
"괜찮아요, 괜찮아요",괜찮아질 거예요.
질투가 너무 강해서 어떻게 질투를 줄일 수 있을까요?,당신이 가장 소중하고 사랑받고 있다는 걸 잊지마세요.
질투가 너무 심한데 질투를 어떻게 줄일까.,당신이 가장 소중한 사람이고 사랑받는 사람이라는 것을 잊지 마세요.
한 달밖에 안 지났어,언젠간 선택을 해야 하는 시기가 올 거예요.
이별한지 딱 한달 째.,당신이 선택해야 할 때가 올 것입니다.
결혼은 정말 좋았어요,쉽지 않은 결정이었겠지만 잘 하셨어요.
달달한 연애 하고 싶어,걱정 마
파트너가 아닌 연인이 되기 위해 어떻게 해야 할까요?,나의 존재를 인지시켜야죠.
짝사랑에서 연인으로 발전하려면 어떻게 해야 해?,내 존재에 대해 알아야 합니다.
도대체 중간이 없어,심지어 매력적이기도 합니다.
고기를 심어줄게,식물을 키우는 건 정신건강에 도움이 될 거예요.
다육이 좀 심어볼까,식물을 키우는 것은 정신 건강에 도움이 될 것입니다.
며칠 동안 내 이야기,들려주세요.
몇일 동안의 나의 이야기.,내 말 들어봐
난 소문이 싫어요,소문은 소문일 뿐이에요.
소문이 안 좋아,소문은 그냥 소문일 뿐입니다.
난 배고프게 깨어났어,맛난 거 드세요.
배고파서 일어났어,맛있는 음식을 먹어라.
"순간, 나는 내가 무너지고있는 것처럼 느꼈다.",쉽지 않은 결정이었나봐요.
우린 먹어야 해,즐거운 시간 보내시길 바랍니다.
귀가 아프네요,병원에 가세요.
귀 아파,병원으로 가
사랑의 정의,내가 원하는 것보다 다른 사람이 원하는 것을 더 우선순위에 두넌 것이에요.-울라프
사랑의 정의,그것은 내가 원하는 것보다 다른 사람들의 욕구를 우선시하는 것에 관한 것입니다.
짝사랑만이 답일까.,그 답은 단순히 사랑만이 아닙니다.
좋은 시간을 보낼 거야,친구와 수다를 떠세요.
내 자존감.,당신은 태어난 그 자체만으로 축복과 사랑을 받을 자격이 있는 사람이에요.
내 자존감,축복과 사랑을 받을 자격이 있는 유일한 사람입니다.
남자친구의 앨범에서 삭제하지 않은 전 여자친구의 사진을 이해해야 할까요?,까먹고 안 지웠을 수도 있어요.
판도라의 상자를 연 거 같아,마음을 준비해
정말 모든 것을 놓치고 있습니다.,묻어두는 것도 좋겠지요.
그게 다야,많이 답답한가요.
어느 날 잠을 잘 수 없어,쓸쓸한 한마디네요.
잠 못 이루는 어느날.,그건 쓸모없는 단어야.
알바레스에게 내가 자주 가는 카페에서 전화번호를 부탁해,쪽지를 남겨서 마음을 전해보세요.
자주 가는 카페에 알바생한테 번호 따고 싶은데,메모를 남기고 생각을 나누세요.
꿈꾸니까 진짜 힘드네ㅜ,꿈이야
이별까지의 이야기.,새로운 이야기를 시작하자.
나 혼자 있어,많이 힘들어하지 마요.
혼자ㅠㅠㅠ,너무 강하지 마
한 달은 10년 정도입니다.,아픔의 정도와 비례할 거예요.
한달이 10년 같은.,통증의 정도에 맞게 될 것입니다.
전화로 자고 싶어요.,낭만적이네요. 전화해보세요.
전화하면서 잠들고 싶다.,로맨틱한 일이야 전화해
발렌타인 선물은 뭐야?,부담스럽지 않은 선이 좋겠어요.
이제서야 현실을 받아들이네,이제 다시 시작할 수 있습니다.
잠을 많이 자지만 피곤해.,요즘 바쁜가봐요.
